#{"t_start": 1746326380.7805235, "env_id": "Pendulum-v1"}
r,l,t
-1051.57476,200,0.343969
-1292.198362,200,0.753277
-1128.242534,200,1.146276
-1147.349952,200,1.528275
-1226.359606,200,1.895278
-1225.359148,200,2.266273
-1324.9212,200,2.626275
-1101.765092,200,3.038172
-1210.527647,200,3.392173
-998.131111,200,3.701173
-1073.736067,200,4.050172
-1039.106139,200,4.379175
-1335.408865,200,4.705173
-1053.060672,200,5.042801
-1202.751177,200,5.378963
-1066.378786,200,5.739931
-1218.673105,200,6.112932
-1362.668032,200,6.46993
-1337.723279,200,6.802963
-1415.187514,200,7.132947
-1558.451006,200,7.507526
-1548.790551,200,7.809526
-1507.613659,200,8.132537
-1571.562506,200,8.461551
-1544.742205,200,8.764534
-1579.143144,200,9.076521
-1535.410149,200,9.391536
-1406.655741,200,9.725346
-1511.585768,200,10.066383
-1502.434072,200,10.398349
-1510.751572,200,10.779348
-1536.686793,200,11.152346
-1507.32142,200,11.573347
-1485.823941,200,12.033577
-1508.254279,200,12.410581
-1484.878289,200,12.848611
-1500.700061,200,13.309582
-1557.210775,200,13.735576
-1556.443181,200,14.145289
-1503.659349,200,14.494288
-1562.101352,200,14.870287
-1436.562022,200,15.258288
-1559.578406,200,15.645292
-1511.375254,200,16.02029
-1370.051195,200,16.430117
-1391.706407,200,16.803153
-1479.247657,200,17.18315
-1353.78902,200,17.541114
-1346.228119,200,17.902116
-1415.667291,200,18.273116
-1366.925921,200,18.695411
-1120.154089,200,19.047414
-1202.697119,200,19.407411
-1378.661872,200,19.758411
-1610.7316,200,20.155465
-1312.795343,200,20.95479
-1315.77353,200,21.464792
-1374.257532,200,21.883825
-1403.30287,200,22.25279
-1418.446691,200,22.627805
-1456.178042,200,23.059441
-1307.864136,200,23.556716
-1382.766951,200,23.895752
-1433.255183,200,24.298717
-1309.535773,200,24.72372
-1356.723913,200,25.245703
-1432.145424,200,25.710647
-1307.952386,200,26.147643
-1241.062328,200,26.517647
-1316.257936,200,26.913643
-1282.498711,200,27.347679
-1308.921967,200,27.91746
-1355.212243,200,28.511452
-1126.987808,200,28.95345
-1070.598654,200,29.376451
-1418.623415,200,29.833516
-1020.66563,200,30.259292
-1230.654133,200,30.670294
-1205.11143,200,31.029289
-1190.682696,200,31.446292
-1318.581034,200,31.886293
-1238.380069,200,32.352743
-1059.420999,200,32.757773
-1023.485273,200,33.182743
-1075.450544,200,33.564745
-872.322964,200,33.984741
-906.666789,200,34.43602
-1118.693402,200,34.822017
-1728.637867,200,35.198017
-1630.506756,200,35.546057
-1017.049945,200,35.92702
-925.647825,200,36.287018
-1517.124967,200,36.741312
-1698.497446,200,37.120311
-1285.195057,200,37.473314
-1324.867031,200,37.934314
-997.766537,200,38.282344
-1728.559023,200,38.659312
-874.278594,200,39.072863
-1575.261182,200,39.433863
